# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	LANGUAGE_FAMILY	COGNACY	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES
#
10831	AmamiAsama	(finger)nail (n.)	Cɨmɨɨ	Cɨmɨɨ	C/ts ɨ m ɨː	Japonic	1188	1188	2 7 4 7	AXBZ	CIMI	1	1.C.C 1.I.V 1.M.C 1.I.V	2.0 1.5 1.75 0.8	C/tsɨmɨː	0
10832	AmamiYamatohama	(finger)nail (n.)	cïmï	cïmï	c/ts ï/ɨ m ï/ɨ	Japonic	1188	1188	2 7 4 7	AXBZ	CIMI	2	2.C.C 2.I.V 2.M.C 2.I.V	2.0 1.5 1.75 0.8	c/tsï/ɨmï/ɨ	0
10833	AmamiYoron	(finger)nail (n.)	cimi	cimi	c/ts i m i	Japonic	1188	1188	2 7 4 7	AXBZ	CIMI	3	3.C.C 3.I.V 3.M.C 3.I.V	2.0 1.5 1.75 0.8	c/tsimi	0
10834	Fukuoka	(finger)nail (n.)	tsume	tsume	ts u m e	Japonic	1188	1188	2 7 4 7	AXBZ	CYME	18	18.C.C 18.Y.V 18.M.C 18.E.V	2.0 1.5 1.75 0.8	tsume	0
10835	Hachijo	(finger)nail (n.)	tsume	tsume	ts u m e	Japonic	1188	1188	2 7 4 7	AXBZ	CYME	22	22.C.C 22.Y.V 22.M.C 22.E.V	2.0 1.5 1.75 0.8	tsume	0
10836	Japanese	(finger)nail (n.)	tume	tume	t u m e	Japonic	1188	1188	1 7 4 7	AXBZ	TYME	26	26.T.C 26.Y.V 26.M.C 26.E.V	2.0 1.5 1.75 0.8	tume	0
10837	Kagoshima	(finger)nail (n.)	tsume	tsume	ts u m e	Japonic	1188	1188	2 7 4 7	AXBZ	CYME	29	29.C.C 29.Y.V 29.M.C 29.E.V	2.0 1.5 1.75 0.8	tsume	0
10838	Koshikiislands	(finger)nail (n.)	tsume	tsume	ts u m e	Japonic	1188	1188	2 7 4 7	AXBZ	CYME	43	43.C.C 43.Y.V 43.M.C 43.E.V	2.0 1.5 1.75 0.8	tsume	0
10839	Kumamoto	(finger)nail (n.)	tsume	tsume	ts u m e	Japonic	1188	1188	2 7 4 7	AXBZ	CYME	44	44.C.C 44.Y.V 44.M.C 44.E.V	2.0 1.5 1.75 0.8	tsume	0
10840	MiyakoIrabu	(finger)nail (n.)	cïmi	cïmi	c/ts ï/ɨ m i	Japonic	1188	1188	2 7 4 7	AXBZ	CIMI	53	53.C.C 53.I.V 53.M.C 53.I.V	2.0 1.5 1.75 0.8	c/tsï/ɨmi	0
10841	OkinawaShuri	(finger)nail (n.)	cimi	cimi	c/ts i m i	Japonic	1188	1188	2 7 4 7	AXBZ	CIMI	68	68.C.C 68.I.V 68.M.C 68.I.V	2.0 1.5 1.75 0.8	c/tsimi	0
10842	OkinawaYonamine	(finger)nail (n.)	cimii	cimii	c/ts i m iː	Japonic	1188	1188	2 7 4 7	AXBZ	CIMI	69	69.C.C 69.I.V 69.M.C 69.I.V	2.0 1.5 1.75 0.8	c/tsimiː	0
10843	OldJapanese	(finger)nail (n.)	tume	tume	t u m e	Japonic	1188	1188	1 7 4 7	AXBZ	TYME	70	70.T.C 70.Y.V 70.M.C 70.E.V	2.0 1.5 1.75 0.8	tume	0
10844	YaeyamaHatoma	(finger)nail (n.)	simi	simi	s i m i	Japonic	1188	1188	3 7 4 7	AXBZ	SIMI	98	98.S.C 98.I.V 98.M.C 98.I.V	2.0 1.5 1.75 0.8	simi	0
10845	YaeyamaIshigaki	(finger)nail (n.)	cïmi	cïmi	c/ts ï/ɨ m i	Japonic	1188	1188	2 7 4 7	AXBZ	CIMI	99	99.C.C 99.I.V 99.M.C 99.I.V	2.0 1.5 1.75 0.8	c/tsï/ɨmi	0
10846	Yonaguni	(finger)nail (n.)	nmí	nmí	n m í/i	Japonic	1188	1188	4 4 7	ACZ	NMI	101	101.N.C 101.M.C 101.I.V	2.0 1.5 0.8	nmí/i	0
10847	Gangwon	(finger)nail (n.)	sonthop	sonthop	s o n tʰ o p	Koreanic	1189	1189	3 7 4 1 7 1	AXMBYN	SUNTUP	20	20.S.C 20.U.V 20.N.c 20.T.C 20.U.V 20.P.c	2.0 1.5 1.1 1.75 1.3 0.8	sontʰop	0
10848	Gyeonggi	(finger)nail (n.)	sonthop	sonthop	s o n tʰ o p	Koreanic	1189	1189	3 7 4 1 7 1	AXMBYN	SUNTUP	21	21.S.C 21.U.V 21.N.c 21.T.C 21.U.V 21.P.c	2.0 1.5 1.1 1.75 1.3 0.8	sontʰop	0
10849	Hwanghae	(finger)nail (n.)	sonthop	sonthop	s o n tʰ o p	Koreanic	1189	1189	3 7 4 1 7 1	AXMBYN	SUNTUP	25	25.S.C 25.U.V 25.N.c 25.T.C 25.U.V 25.P.c	2.0 1.5 1.1 1.75 1.3 0.8	sontʰop	0
10850	Jeju	(finger)nail (n.)	sonthop	sonthop	s o n tʰ o p	Koreanic	1189	1189	3 7 4 1 7 1	AXMBYN	SUNTUP	27	27.S.C 27.U.V 27.N.c 27.T.C 27.U.V 27.P.c	2.0 1.5 1.1 1.75 1.3 0.8	sontʰop	0
10851	Korean	(finger)nail (n.)	sonthop	sonthop	s o n tʰ o p	Koreanic	1189	1189	3 7 4 1 7 1	AXMBYN	SUNTUP	42	42.S.C 42.U.V 42.N.c 42.T.C 42.U.V 42.P.c	2.0 1.5 1.1 1.75 1.3 0.8	sontʰop	0
10852	LateMiddleKorean	(finger)nail (n.)	sontop, sonstop,sonsthop	sontop	s o n t o p	Koreanic	1189	1189	3 7 4 1 7 1	AXMBYN	SUNTUP	47	47.S.C 47.U.V 47.N.c 47.T.C 47.U.V 47.P.c	2.0 1.5 1.1 1.75 1.3 0.8	sontop	0
10853	NorthernChungcheong	(finger)nail (n.)	sonthop	sonthop	s o n tʰ o p	Koreanic	1189	1189	3 7 4 1 7 1	AXMBYN	SUNTUP	60	60.S.C 60.U.V 60.N.c 60.T.C 60.U.V 60.P.c	2.0 1.5 1.1 1.75 1.3 0.8	sontʰop	0
10854	NorthernGyeongsang	(finger)nail (n.)	sonthop	sonthop	s o n tʰ o p	Koreanic	1189	1189	3 7 4 1 7 1	AXMBYN	SUNTUP	63	63.S.C 63.U.V 63.N.c 63.T.C 63.U.V 63.P.c	2.0 1.5 1.1 1.75 1.3 0.8	sontʰop	0
