Grapheme	IPA	Frequence	Codepoints
a	a	11645	U+0061
u	u	7451	U+0075
i	i	7163	U+0069
n	n	6663	U+006e
r	r	5298	U+0072
k	k	5080	U+006b
t	t	5052	U+0074
-	+	4995	U+002d
l	l	4645	U+006c
o	o	4241	U+006f
e	e	4098	U+0065
m	m	3705	U+006d
s	s	3378	U+0073
b	b	2593	U+0062
d	d	2491	U+0064
ə	ə	2406	U+0259
g	g	2340	U+0067
h	h	1726	U+0068
ï	ï/ɨ	1696	U+00ef
p	p	1592	U+0070
ḳ	ḳ/q	1397	U+1e33
_	+	1194	U+005f
^_	NULL
_$	NULL
^-	NULL
-$	NULL
č	č/tʃ	1100	U+010d
c	c/ts	1068	U+0063
ŋ	ŋ	1018	U+014b
ü	ü/y	1001	U+00fc
j	j	996	U+006a
š	š/ʃ	957	U+0161
ɴ	ɴ	846	U+0274
z	z	764	U+007a
ay	ay/ai	748	U+0061 U+0079
ö	ö/œ	657	U+00f6
w	w	585	U+0077
ɣ	ɣ	513	U+0263
x	x	476	U+0078
aa	aː	375	U+0061 U+0061
ä	ä/æ	355	U+00e4
ʤ	dʒ	353	U+02a4
ya	y/j a	332	U+0079 U+0061
y	y/j	332	U+0079
χ	χ	326	U+03c7
f	f	286	U+0066
v	v	275	U+0076
kk	kː	274	U+006b U+006b
aː	aː	274	U+0061 U+02d0
iː	iː	256	U+0069 U+02d0
uː	uː	231	U+0075 U+02d0
a:	aː	227	U+0061 U+003a
ye	y/j e	225	U+0079 U+0065
ń	ń/n	218	U+0144
oː	oː	216	U+006f U+02d0
th	tʰ	213	U+0074 U+0068
ǰ	ǰ/dʒ	211	U+01f0
uu	uː	210	U+0075 U+0075
tt	tː	210	U+0074 U+0074
ii	iː	207	U+0069 U+0069
ey	ey/ei	197	U+0065 U+0079
Ɂ	ʔ	187	U+0241
ch	ch/tʃ	180	U+0063 U+0068
kw	kʷ	177	U+006b U+0077
kh	kʰ	175	U+006b U+0068
q	q	168	U+0071
oo	oː	167	U+006f U+006f
cc	cc/tsː	163	U+0063 U+0063
ai	ai	162	U+0061 U+0069
ž	ž/ʒ	156	U+017e
ɘ	ɘ	155	U+0258
u:	uː	149	U+0075 U+003a
ɔ	ɔ	148	U+0254
ph	pʰ	145	U+0070 U+0068
ss	sː	141	U+0073 U+0073
ị	ị/ɨ	137	U+1ecb
mw	m w	136	U+006d U+0077
ɕ	ɕ	132	U+0255
oy	oy/oi	123	U+006f U+0079
əː	əː	120	U+0259 U+02d0
ụ	ụ/u	115	U+1ee5
pp	pː	113	U+0070 U+0070
ts	ts	107	U+0074 U+0073
ui	ui	106	U+0075 U+0069
ll	lː	105	U+006c U+006c
G	ɢ	104	U+0047
pw	p w	102	U+0070 U+0077
eː	eː	99	U+0065 U+02d0
ks	k s	98	U+006b U+0073
e:	eː	95	U+0065 U+003a
o:	oː	92	U+006f U+003a
yu	y/j u	92	U+0079 U+0075
è	è/e	91	U+00e8
ɵ	ɵ	91	U+0275
sw	s w	88	U+0073 U+0077
ïs	ï/ɨ s	85	U+00ef U+0073
nn	nː	84	U+006e U+006e
.	+	84	U+002e
^.	NULL
.$	NULL
tw	t w	81	U+0074 U+0077
ɨ	ɨ	80	U+0268
ġ	ɢ	78	U+0121
ia	i a	78	U+0069 U+0061
cw	c w	78	U+0063 U+0077
ọ	ọ/o	77	U+1ecd
üs	ü/y s	76	U+00fc U+0073
ü:	üː/yː	76	U+00fc U+003a
ʔ	ʔ	75	U+0294
ee	eː	75	U+0065 U+0065
ś	ś/ʃ	74	U+015b
uy	uy/ui	74	U+0075 U+0079
?	?/ʔ	74	U+003f
nw	n w	74	U+006e U+0077
A	A/a	70	U+0041
gh	g h	66	U+0067 U+0068
iy	iy/i	65	U+0069 U+0079
ĭ	ĭ/i	64	U+012d
u̥	u̥/u	61	U+0075 U+0325
aya	a y/j a	61	U+0061 U+0079 U+0061
əi	əi	57	U+0259 U+0069
iə	i/j ə	56	U+0069 U+0259
ua	u/w a	55	U+0075 U+0061
ǯ	ǯ/dʒ	53	U+01ef
ɯ	ɯ	51	U+026f
i̥	i̥/i	51	U+0069 U+0325
lh	l h	51	U+006c U+0068
ie	i/j e	50	U+0069 U+0065
rs	r s	49	U+0072 U+0073
ʥ	dʑ	48	U+02a5
ö:	öː/œː	48	U+00f6 U+003a
i:	iː	48	U+0069 U+003a
yo	y/j o	46	U+0079 U+006f
ɨɨ	ɨː	46	U+0268 U+0268
au	au	45	U+0061 U+0075
ň	ň/n	43	U+0148
yi	y/j i	43	U+0079 U+0069
ao	ao	42	U+0061 U+006f
tɕ	tɕ	42	U+0074 U+0255
ös	ö/œ s	42	U+00f6 U+0073
’	’/ʔ	42	U+2019
ei	ei	42	U+0065 U+0069
ms	m s	41	U+006d U+0073
ʃ	ʃ	41	U+0283
ʒ	ʒ	40	U+0292
uo	u/w o	38	U+0075 U+006f
sh	sh/ʃ	37	U+0073 U+0068
û	û/u	35	U+00fb
əʷ	əʷ/əu	34	U+0259 U+02b7
ʂ	ʂ	34	U+0282
ʣ	dz	34	U+02a3
ọː	ọː/oː	33	U+1ecd U+02d0
θ	θ	33	U+03b8
dʑ	dʑ	32	U+0064 U+0291
nh	n h	32	U+006e U+0068
à	à/a	31	U+00e0
phw	ph/pʰ w	31	U+0070 U+0068 U+0077
dʒ	dʒ	30	U+0064 U+0292
ͻ	ɔ	29	U+037b
dʐ	ɖʐ	29	U+0064 U+0290
ʁ	ʁ	29	U+0281
'a	a	29	U+0027 U+0061
ɛ	ɛ	28	U+025b
ʨ	tɕ	27	U+02a8
rh	rh/rʰ	27	U+0072 U+0068
oi	oi	27	U+006f U+0069
ʉ	ʉ	27	U+0289
hw	hw/hʷ	26	U+0068 U+0077
mh	mh/mʰ	26	U+006d U+0068
ŭ	ŭ/u	26	U+016d
á	á/a	25	U+00e1
ʧ	tʃ	25	U+02a7
â	â/a	25	U+00e2
io	i/j o	25	U+0069 U+006f
ď	ď/d	24	U+010f
ù	ù/u	23	U+00f9
ue	u/w e	23	U+0075 U+0065
δ	δ/ð	22	U+03b4
ï:	ïː/ɨː	22	U+00ef U+003a
'	'/ʔ	22	U+0027
е	е	22	U+0435
ú	ú/u	22	U+00fa
í	í/i	21	U+00ed
äː	äː/æː	21	U+00e4 U+02d0
κ	κ/q	21	U+03ba
iyi	i y/j i	21	U+0069 U+0079 U+0069
ïï	ïï/ɨː	20	U+00ef U+00ef
uə	u/w ə	20	U+0075 U+0259
ə:	əː	20	U+0259 U+003a
ɘʷ	ɘʷ/əu	20	U+0258 U+02b7
chw	ch/x w	20	U+0063 U+0068 U+0077
iu	i/j u	19	U+0069 U+0075
ou	ou	19	U+006f U+0075
äs	ä/æ s	19	U+00e4 U+0073
əu	əu	19	U+0259 U+0075
ayi	a y/j i	19	U+0061 U+0079 U+0069
ɸ	ɸ	18	U+0278
gs	g s	18	U+0067 U+0073
+	+	18	U+002b
+$	NULL
^+	NULL
oa	oa	17	U+006f U+0061
ø	ø	17	U+00f8
ns	n s	17	U+006e U+0073
ì	ì/i	16	U+00ec
tʂ	ʈʂ	16	U+0074 U+0282
mm	mː	16	U+006d U+006d
uya	u y/j a	16	U+0075 U+0079 U+0061
eyi	e y/j i	16	U+0065 U+0079 U+0069
ls	l s	16	U+006c U+0073
K	K/q	16	U+004b
τ	τ/t	16	U+03c4
zh	zh/ʒ	16	U+007a U+0068
aˁ	aˤ/a ʕ	15	U+0061 U+02c1
å:	ḁː/aː	15	U+00e5 U+003a
uai	u/w ai	15	U+0075 U+0061 U+0069
msw	m s w	15	U+006d U+0073 U+0077
ȧ	ȧ/a	14	U+0227
ō	ō/oː	14	U+014d
yy	yy/jː	14	U+0079 U+0079
oyu	o y/j u	14	U+006f U+0079 U+0075
ɲ	ɲ	13	U+0272
ĕ	ĕ/e	13	U+0115
čč	čč/tʃː	13	U+010d U+010d
O	O/o	13	U+004f
